Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
,01,,,LEAD,182-ALCALA DE GUADAIRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,183-TUDELA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,196-ZARAGOZA - ILDEFONSO MANUEL GIL,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,198-ZARAGOZA - MADRID 2,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,03,,,LEAD,202-LA OROTAVA - OBISPO BENITEZ DE LUGO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,02,,LEAD,206-GAVA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,207-ANTEQUERA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,03,,,LEAD,209-LAS PALMAS DE GRAN CANARIA - TRIANA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,209-LAS PALMAS DE GRAN CANARIA - TRIANA,Pre-Sales,IMPRESIONES CONDUCTO AUDITIVO
,01,,,LEAD,211-LAS PALMAS DE GRAN CANARIA - ZARAGOZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,220-LINARES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,02,,,LEAD,223-PUERTO DE LA CRUZ,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,,,LEAD,230-LOGROÑO - DEL DOCTOR MUGICA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
,01,01,,LEAD,231-LOGROÑO - LA PAZ,1st APPS,EXAMEN TELEMARKETING LE
,01,01,,LEAD,803-BARCELONA - PERE IV,Pre-Sales,1° CONTROL PRUEBA
,01,01,,LEAD,8FA-LEGANES - UNIVERSIDAD,1st APPS,VISITA COMPLETA /OPORTUNIDAD
00000004,01,,00000004,PROSPECT,OST-GhostShop,1st APPS,OPORTUNIDAD 15 MINUTOS
