Customer Code,Agenda Appointments,Appointments Completed,Customer Code,Customer Type Group,Shop Code - Descr,Service Category Descr,Service Descr
056002BU,01,01,056002BU,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
056002C6,01,01,056002C6,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
056002M8,01,,056002M8,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,OPORTUNIDAD POTENCIAL
056002MT,01,01,056002MT,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,ENTREGA DE LA VENTA
056002N1,01,01,056002N1,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
056002U9,01,,056002U9,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
056003HV,01,,056003HV,LEAD,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,2° CONTROL PRUEBA
056003WW,01,,056003WW,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0560040A,01,01,0560040A,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,ENTREGA DE LA VENTA
0560041I,01,01,0560041I,LEAD,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,3° CONTROL PRUEBA
0560043V,01,01,0560043V,LEAD,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0560044A,01,01,0560044A,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,ENTREGA DE LA VENTA
0560044H,01,,0560044H,LEAD,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,1° CONTROL PRUEBA
0560044R,02,02,0560044R,LEAD,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0560044T,01,01,0560044T,LEAD,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0560044W,01,01,0560044W,LEAD,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0560044X,01,01,0560044X,LEAD,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0560044Z,01,01,0560044Z,LEAD,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620464,01,,05620464,CUSTOMER,104-ELDA - PADRE MANJON,Pre-Sales,CIERRE DE LA PRUEBA
056208DN,01,01,056208DN,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,1° CONTROL PRUEBA
056208KM,01,01,056208KM,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,1° CONTROL PRUEBA
056208KM,01,01,056208KM,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,ENTREGA DE LA PRUEBA
056209HG,01,,056209HG,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620CTE,01,01,05620CTE,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620DDL,01,,05620DDL,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620FFB,01,01,05620FFB,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620FFB,02,01,05620FFB,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,1° CONTROL PRUEBA
05620I3N,01,01,05620I3N,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,1° CONTROL PRUEBA
05620JL1,01,,05620JL1,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620L96,01,01,05620L96,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620MOB,01,01,05620MOB,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,ENTREGA DE LA PRUEBA
05620MU3,01,01,05620MU3,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620MZ9,01,01,05620MZ9,LEAD,8FB-CORDOBA - GRAN CAPITAN,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620OQE,01,01,05620OQE,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,OPORTUNIDAD POTENCIAL
05620OQE,01,01,05620OQE,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,Pre-Sales,1° CONTROL PRUEBA
05620PTU,01,,05620PTU,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620Q1M,01,01,05620Q1M,CUSTOMER,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05620Q5T,01,,05620Q5T,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,OPORTUNIDAD POTENCIAL
05620QHI,01,01,05620QHI,PROSPECT,056-CORDOBA - JOSE CRUZ CONDE,1st APPS,OPORTUNIDAD POTENCIAL
05707PY5,01,01,05707PY5,CUSTOMER,066-A CORUÑA – FRANCISCO MARIÑO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05707Q61,01,01,05707Q61,LEAD,827-A CORUÑA - FERNANDEZ LATORRE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05707QAF,01,01,05707QAF,CUSTOMER,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0572373I,01,01,0572373I,LEAD,827-A CORUÑA - FERNANDEZ LATORRE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0572375G,01,01,0572375G,PROSPECT,066-A CORUÑA – FRANCISCO MARIÑO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0572375Y,01,01,0572375Y,LEAD,827-A CORUÑA - FERNANDEZ LATORRE,Pre-Sales,CIERRE DE LA PRUEBA
057237F5,01,01,057237F5,CUSTOMER,057-A CORUÑA - DE OZA,1st APPS,OPORTUNIDAD POTENCIAL
057237N3,01,,057237N3,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
057237R5,01,01,057237R5,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,OPORTUNIDAD POTENCIAL
057237SS,01,01,057237SS,CUSTOMER,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
057237UC,01,,057237UC,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,OPORTUNIDAD POTENCIAL
057237UO,01,,057237UO,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
057237WL,01,01,057237WL,CUSTOMER,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
057237YB,01,01,057237YB,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,EXAMEN TELEMARKETING LE
0572380T,01,01,0572380T,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0572380T,01,,0572380T,PROSPECT,057-A CORUÑA - DE OZA,Pre-Sales,ENTREGA DE LA VENTA
0572382N,01,01,0572382N,PROSPECT,057-A CORUÑA - DE OZA,1st APPS,OPORTUNIDAD POTENCIAL
05723854,01,01,05723854,PROSPECT,057-A CORUÑA - DE OZA,Pre-Sales,2° CONTROL PRUEBA
05723877,01,01,05723877,PROSPECT,057-A CORUÑA - DE OZA,Pre-Sales,1° CONTROL PRUEBA
0572387E,01,01,0572387E,CUSTOMER,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0572389H,01,01,0572389H,LEAD,827-A CORUÑA - FERNANDEZ LATORRE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
057238C9,01,01,057238C9,CUSTOMER,057-A CORUÑA - DE OZA,Pre-Sales,1° CONTROL PRUEBA
057238C9,01,01,057238C9,CUSTOMER,057-A CORUÑA - DE OZA,Pre-Sales,ENTREGA DE LA PRUEBA
057238DH,01,01,057238DH,CUSTOMER,057-A CORUÑA - DE OZA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
057238DK,01,,057238DK,CUSTOMER,057-A CORUÑA - DE OZA,Pre-Sales,1° CONTROL PRUEBA
057238DK,01,01,057238DK,CUSTOMER,057-A CORUÑA - DE OZA,Pre-Sales,ENTREGA DE LA VENTA
057238MS,01,01,057238MS,PROSPECT,057-A CORUÑA - DE OZA,Pre-Sales,2° CONTROL PRUEBA
057238MS,01,01,057238MS,PROSPECT,057-A CORUÑA - DE OZA,Pre-Sales,3° CONTROL PRUEBA
05900338,01,,05900338,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05900704,01,01,05900704,CUSTOMER,118-GRANADA - DR. OLORIZ,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05900854,01,01,05900854,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05901593,02,02,05901593,LEAD,059-GRANADA - RECOGIDAS,Pre-Sales,CIERRE DE LA PRUEBA
05901725,01,,05901725,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05901921,01,01,05901921,LEAD,AD8-ORGIVA,1st APPS,OPORTUNIDAD 15 MINUTOS
05902601,01,,05902601,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05902869,01,01,05902869,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05902869,01,,05902869,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
05902869,01,,05902869,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,3° CONTROL PRUEBA
05902869,01,,05902869,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,CIERRE DE LA PRUEBA
05903545,01,01,05903545,CUSTOMER,118-GRANADA - DR. OLORIZ,Pre-Sales,CIERRE DE LA PRUEBA
05903705,02,02,05903705,CUSTOMER,118-GRANADA - DR. OLORIZ,Pre-Sales,CIERRE DE LA PRUEBA
05903727,01,,05903727,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,3° CONTROL PRUEBA
05903727,02,01,05903727,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,CIERRE DE LA PRUEBA
05903761,01,01,05903761,CUSTOMER,118-GRANADA - DR. OLORIZ,Pre-Sales,3° CONTROL PRUEBA
05903799,01,,05903799,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,2° CONTROL PRUEBA
05903799,01,01,05903799,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,3° CONTROL PRUEBA
05903799,01,01,05903799,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,CIERRE DE LA PRUEBA
05903903,01,,05903903,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05903985,01,,05903985,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05904001,01,01,05904001,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,2° CONTROL PRUEBA
05904195,01,,05904195,CUSTOMER,221-ALCALA LA REAL - CARRERA DE LA MERCEDES,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05904348,01,01,05904348,CUSTOMER,118-GRANADA - DR. OLORIZ,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05904668,01,01,05904668,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05904768,01,,05904768,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,ENTREGA DE LA PRUEBA
05905053,01,,05905053,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05905289,01,,05905289,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05905498,01,,05905498,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05905556,01,01,05905556,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05905668,01,01,05905668,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05905684,01,,05905684,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05905924,01,,05905924,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
05906018,01,01,05906018,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05906018,01,,05906018,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
05906086,01,,05906086,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,CIERRE DE LA PRUEBA
05920545,01,,05920545,LEAD,059-GRANADA - RECOGIDAS,1st APPS,EXAMEN TELEMARKETING LE
05920782,01,01,05920782,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05921099,01,01,05921099,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059222LI,02,01,059222LI,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
059222LU,01,,059222LU,PROSPECT,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059222ZT,01,01,059222ZT,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,2° CONTROL PRUEBA
0592233Z,01,01,0592233Z,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0592233Z,01,01,0592233Z,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
059223B3,01,01,059223B3,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059223BK,01,01,059223BK,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059223FJ,01,,059223FJ,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059223HL,01,,059223HL,PROSPECT,059-GRANADA - RECOGIDAS,1st APPS,OPORTUNIDAD POTENCIAL
059223JG,01,01,059223JG,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,ENTREGA DE LA PRUEBA
059223KM,01,,059223KM,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059223MJ,01,01,059223MJ,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059223MM,01,,059223MM,PROSPECT,059-GRANADA - RECOGIDAS,1st APPS,OPORTUNIDAD POTENCIAL
059223UX,01,,059223UX,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
059223UX,01,,059223UX,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,2° CONTROL PRUEBA
0592242E,01,,0592242E,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
05922467,01,01,05922467,CUSTOMER,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059224A5,02,01,059224A5,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,3° CONTROL PRUEBA
059224A5,02,01,059224A5,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,CIERRE DE LA PRUEBA
059224AV,01,01,059224AV,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,3° CONTROL PRUEBA
059224B8,01,,059224B8,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
059224B8,01,01,059224B8,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,3° CONTROL PRUEBA
059224B8,01,01,059224B8,CUSTOMER,059-GRANADA - RECOGIDAS,Pre-Sales,ENTREGA DE LA PRUEBA
059224BF,01,01,059224BF,LEAD,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059224BF,01,,059224BF,LEAD,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
059224BG,01,,059224BG,LEAD,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
059224BG,01,01,059224BG,PROSPECT,059-GRANADA - RECOGIDAS,Pre-Sales,ENTREGA DE LA PRUEBA
059224BH,01,,059224BH,LEAD,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059224BJ,01,01,059224BJ,LEAD,059-GRANADA - RECOGIDAS,1st APPS,VISITA COMPLETA /OPORTUNIDAD
059224BJ,01,01,059224BJ,LEAD,059-GRANADA - RECOGIDAS,Pre-Sales,1° CONTROL PRUEBA
06000274,01,,06000274,LEAD,ABD-BOLLULLOS PAR DEL CONDADO,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06000502,01,01,06000502,CUSTOMER,070-SEVILLA - VIRGEN DE LUJAN,Pre-Sales,2° CONTROL PRUEBA
06000681,01,,06000681,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,EXAMEN TELEMARKETING LE
06001238,01,01,06001238,CUSTOMER,060-HUELVA - PLUS ULTRA,Pre-Sales,CIERRE DE LA PRUEBA
06001291,01,,06001291,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06001608,01,,06001608,LEAD,ACA-AYAMONTE,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06020597,01,01,06020597,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,OPORTUNIDAD POTENCIAL
060205EV,01,,060205EV,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,EXAMEN TELEMARKETING LE
060205GG,01,01,060205GG,CUSTOMER,060-HUELVA - PLUS ULTRA,Pre-Sales,CIERRE DE LA PRUEBA
060205KF,01,,060205KF,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,OPORTUNIDAD POTENCIAL
060205MW,01,01,060205MW,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,OPORTUNIDAD POTENCIAL
060205OY,01,01,060205OY,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060205TS,01,01,060205TS,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060205XR,01,,060205XR,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060205XX,01,01,060205XX,CUSTOMER,060-HUELVA - PLUS ULTRA,Pre-Sales,CIERRE DE LA PRUEBA
060205YE,01,01,060205YE,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,OPORTUNIDAD POTENCIAL
060205YW,01,,060205YW,CUSTOMER,060-HUELVA - PLUS ULTRA,Pre-Sales,CIERRE DE LA PRUEBA
0602064N,01,,0602064N,CUSTOMER,060-HUELVA - PLUS ULTRA,Pre-Sales,1° CONTROL PRUEBA
0602064N,01,01,0602064N,CUSTOMER,060-HUELVA - PLUS ULTRA,Pre-Sales,ENTREGA DE LA PRUEBA
0602068C,01,,0602068C,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
0602068K,01,,0602068K,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,OPORTUNIDAD POTENCIAL
0602068X,01,,0602068X,PROSPECT,060-HUELVA - PLUS ULTRA,Pre-Sales,CIERRE DE LA PRUEBA
060206A0,01,,060206A0,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,EXAMEN TELEMARKETING LE
060206A4,01,01,060206A4,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060206HY,01,,060206HY,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060206KY,01,,060206KY,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060206VF,01,,060206VF,CUSTOMER,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
060206XC,01,01,060206XC,LEAD,060-HUELVA - PLUS ULTRA,Pre-Sales,ENTREGA DE LA VENTA
060206Z7,01,,060206Z7,PROSPECT,060-HUELVA - PLUS ULTRA,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06100501,01,01,06100501,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06100667,01,01,06100667,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06100760,01,,06100760,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06100892,02,02,06100892,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101298,01,01,06101298,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101307,01,01,06101307,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101542,01,01,06101542,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101745,01,01,06101745,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,3° CONTROL PRUEBA
06101805,01,01,06101805,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101918,01,01,06101918,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101953,01,01,06101953,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101960,01,01,06101960,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06101980,01,01,06101980,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102030,01,01,06102030,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,1° CONTROL PRUEBA
06102137,01,01,06102137,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06102148,01,01,06102148,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102358,01,01,06102358,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102597,01,01,06102597,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102855,01,,06102855,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,1° CONTROL PRUEBA
06102861,01,01,06102861,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06102879,01,01,06102879,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102887,01,01,06102887,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102928,01,01,06102928,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102931,01,01,06102931,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06102979,01,01,06102979,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103044,01,,06103044,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103071,01,01,06103071,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,1° CONTROL PRUEBA
06103180,01,01,06103180,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103301,01,01,06103301,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06103477,01,01,06103477,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103513,02,02,06103513,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06103529,01,01,06103529,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103709,01,01,06103709,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103782,01,,06103782,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103896,01,01,06103896,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06103925,02,,06103925,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06103930,01,,06103930,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06103987,01,01,06103987,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104030,01,01,06104030,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,1° CONTROL PRUEBA
06104030,01,01,06104030,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,ENTREGA DE LA PRUEBA
06104091,01,01,06104091,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,OPORTUNIDAD POTENCIAL
06104129,01,01,06104129,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,CIERRE DE LA PRUEBA
06104158,01,01,06104158,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104390,01,01,06104390,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104530,01,,06104530,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104551,01,,06104551,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104582,01,01,06104582,PROSPECT,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104592,01,,06104592,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104625,01,01,06104625,CUSTOMER,061-SALAMANCA - MIRAT,Pre-Sales,1° CONTROL PRUEBA
06104631,01,01,06104631,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
06104674,01,01,06104674,CUSTOMER,061-SALAMANCA - MIRAT,1st APPS,VISITA COMPLETA /OPORTUNIDAD
